open_time,open,high,low,close,volume,quote_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2026-01-01T00:00:00+00:00,100000.0,100018.0,99982.0,100000.0,8.0,800000.0,100,3.6,360000.0
2026-01-01T00:01:00+00:00,100000.0,100035.025133,99981.0,100016.025133,10.30877879,1031043.07826954,101,4.74203824,474279.81600399
2026-01-01T00:02:00+00:00,100016.025133,100051.67453189,99996.025133,100031.67453189,12.47347921,1247743.01284298,102,5.86253523,586439.2160362
2026-01-01T00:03:00+00:00,100031.67453189,100067.58673853,100010.67453189,100046.58673853,14.36588394,1437257.65360198,103,6.89562429,689883.67372895
2026-01-01T00:04:00+00:00,100046.58673853,100082.42827995,100024.58673853,100060.42827995,15.88775161,1589735.23004714,104,7.78499829,778970.2627231
2026-01-01T00:05:00+00:00,100060.42827995,100095.9062668,100042.42827995,100072.9062668,16.98163183,1699401.25048175,105,8.49081592,849700.62524087
2026-01-01T00:06:00+00:00,100072.9062668,100107.77938109,100053.9062668,100083.77938109,17.63718971,1765196.60356811,106,8.99496675,900250.26781973
2026-01-01T00:07:00+00:00,100083.77938109,100110.86681757,100063.77938109,100092.86681757,17.89234353,1790895.9576976,107,9.30401863,931265.89800275
2026-01-01T00:08:00+00:00,100092.86681757,100119.05482474,100071.86681757,100100.05482474,17.82909051,1784692.93718014,108,9.44941797,945887.25670548
2026-01-01T00:09:00+00:00,100100.05482474,100125.30058681,100078.05482474,100105.30058681,17.56448003,1758297.55327833,109,7.90401601,791233.89897525
2026-01-01T00:10:00+00:00,100105.30058681,100129.6332944,100087.30058681,100108.6332944,18.76227185,1878265.39255178,110,8.63064505,864002.08057382
2026-01-01T00:11:00+00:00,100108.6332944,100132.15236319,100089.6332944,100110.15236319,10.00510819,1001612.9057469,111,4.70240085,470758.06570104
2026-01-01T00:12:00+00:00,100110.15236319,100133.15236319,100090.02287393,100110.02287393,12.02720998,1204044.26633062,112,5.77306079,577941.2478387
2026-01-01T00:13:00+00:00,100110.02287393,100134.02287393,100087.46841748,100108.46841748,13.71605801,1373093.55961416,113,6.72086842,672815.84421094
2026-01-01T00:14:00+00:00,100108.46841748,100126.46841748,100083.76163225,100105.76163225,14.99581967,1501167.94920421,114,7.49790983,750583.9746021
2026-01-01T00:15:00+00:00,100105.76163225,100124.76163225,100084.21281306,100102.21281306,15.8356971,1585188.3210125,115,8.07620552,808446.04371638
2026-01-01T00:16:00+00:00,100102.21281306,100122.21281306,100079.15704746,100098.15704746,16.25331757,1626927.1342908,116,8.45172513,846002.10983122
2026-01-01T00:17:00+00:00,100098.15704746,100119.15704746,100073.94039397,100093.94039397,16.31279297,1632811.72689572,100,8.64578027,865390.21525473
2026-01-01T00:18:00+00:00,100093.94039397,100115.94039397,100068.90565489,100089.90565489,16.11766199,1613215.26823634,101,7.2529479,725946.87070635
2026-01-01T00:19:00+00:00,100089.90565489,100112.90565489,100064.37831246,100086.37831246,16.20050804,1621450.1764983,102,7.4522337,745867.08118922
2026-01-01T00:20:00+00:00,100086.37831246,100110.37831246,100065.65319022,100083.65319022,18.49660492,1851207.79223843,103,8.69340431,870067.66235206
2026-01-01T00:21:00+00:00,100083.65319022,100101.65319022,100062.98237281,100081.98237281,20.62794639,2064485.76747914,104,9.90141427,990953.16838999
2026-01-01T00:22:00+00:00,100081.98237281,100100.98237281,100061.56486681,100081.56486681,11.46998748,1147934.29584856,105,5.62029386,562487.80496579
2026-01-01T00:23:00+00:00,100081.56486681,100102.53841586,100060.56486681,100082.53841586,12.93003115,1294070.33908255,106,6.46501557,647035.16954128
2026-01-01T00:24:00+00:00,100082.53841586,100105.97379719,100060.53841586,100084.97379719,13.95743299,1396929.31472919,107,7.11829082,712433.95051188
